filename, language, JavaScript, Vue.js, CSS, XML, comment, blank, total
/Users/huangwenxun/Desktop/vue框架/webstorm/mall/src/store/index.js, JavaScript, 16, 0, 0, 0, 0, 5, 21
/Users/huangwenxun/Desktop/vue框架/webstorm/mall/src/store/mutations.js, JavaScript, 10, 0, 0, 0, 0, 1, 11
/Users/huangwenxun/Desktop/vue框架/webstorm/mall/src/views/Class/Class.vue, Vue.js, 0, 110, 0, 0, 8, 14, 132
/Users/huangwenxun/Desktop/vue框架/webstorm/mall/src/views/Class/childComps/ClassNavBar.vue, Vue.js, 0, 25, 0, 0, 0, 3, 28
/Users/huangwenxun/Desktop/vue框架/webstorm/mall/src/views/Class/childComps/TabContent.vue, Vue.js, 0, 39, 0, 0, 0, 3, 42
/Users/huangwenxun/Desktop/vue框架/webstorm/mall/src/views/Class/childComps/TabContentDetail.vue, Vue.js, 0, 32, 0, 0, 0, 3, 35
/Users/huangwenxun/Desktop/vue框架/webstorm/mall/src/views/Class/childComps/TabMenu.vue, Vue.js, 0, 58, 0, 0, 0, 3, 61
/Users/huangwenxun/Desktop/vue框架/webstorm/mall/src/views/Home/Home.vue, Vue.js, 0, 156, 0, 0, 7, 20, 183
/Users/huangwenxun/Desktop/vue框架/webstorm/mall/src/views/Home/childComps/FeatureView.vue, Vue.js, 0, 17, 0, 0, 0, 2, 19
/Users/huangwenxun/Desktop/vue框架/webstorm/mall/src/views/Home/childComps/HomeSwiper.vue, Vue.js, 0, 27, 0, 0, 0, 2, 29
/Users/huangwenxun/Desktop/vue框架/webstorm/mall/src/views/Home/childComps/RecommendView.vue, Vue.js, 0, 46, 0, 0, 0, 3, 49
/Users/huangwenxun/Desktop/vue框架/webstorm/mall/src/views/detail/Detail.vue, Vue.js, 0, 179, 0, 0, 13, 19, 211
/Users/huangwenxun/Desktop/vue框架/webstorm/mall/src/views/detail/childComps/DetailBottomBar.vue, Vue.js, 0, 73, 0, 0, 0, 3, 76
/Users/huangwenxun/Desktop/vue框架/webstorm/mall/src/views/detail/childComps/DetailCommentInfo.vue, Vue.js, 0, 86, 0, 0, 0, 3, 89
/Users/huangwenxun/Desktop/vue框架/webstorm/mall/src/views/detail/childComps/DetailGoodsInfo.vue, Vue.js, 0, 107, 0, 0, 0, 4, 111
/Users/huangwenxun/Desktop/vue框架/webstorm/mall/src/views/detail/childComps/DetailInfo.vue, Vue.js, 0, 35, 0, 0, 0, 2, 37
/Users/huangwenxun/Desktop/vue框架/webstorm/mall/src/views/detail/childComps/DetailNavBar.vue, Vue.js, 0, 64, 0, 0, 0, 3, 67
/Users/huangwenxun/Desktop/vue框架/webstorm/mall/src/views/detail/childComps/DetailParamsInfo.vue, Vue.js, 0, 49, 0, 0, 0, 2, 51
/Users/huangwenxun/Desktop/vue框架/webstorm/mall/src/views/detail/childComps/DetailShopInfo.vue, Vue.js, 0, 114, 0, 0, 0, 2, 116
/Users/huangwenxun/Desktop/vue框架/webstorm/mall/src/views/detail/childComps/DetailSwiper.vue, Vue.js, 0, 30, 0, 0, 0, 3, 33
/Users/huangwenxun/Desktop/vue框架/webstorm/mall/src/views/profile/Me.vue, Vue.js, 0, 24, 0, 0, 0, 4, 28
/Users/huangwenxun/Desktop/vue框架/webstorm/mall/src/views/profile/childComps/UserInfo.vue, Vue.js, 0, 30, 0, 0, 0, 3, 33
/Users/huangwenxun/Desktop/vue框架/webstorm/mall/src/views/shopcart/childComps/CartBottomBar.vue, Vue.js, 0, 128, 0, 0, 0, 8, 136
/Users/huangwenxun/Desktop/vue框架/webstorm/mall/src/views/shopcart/childComps/CartList.vue, Vue.js, 0, 36, 0, 0, 0, 3, 39
/Users/huangwenxun/Desktop/vue框架/webstorm/mall/src/views/shopcart/childComps/cartListItem.vue, Vue.js, 0, 139, 0, 0, 4, 5, 148
/Users/huangwenxun/Desktop/vue框架/webstorm/mall/src/views/shopcart/shoppingcart.vue, Vue.js, 0, 34, 0, 0, 0, 3, 37
Total, -, 267, 2328, 4, 14, 46, 237, 2896
